<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-500,D,30/11/21,00:00:00,4567.0000000
SANDP-500,D,01/12/21,00:00:00,4513.0400000
SANDP-500,D,02/12/21,00:00:00,4577.1000000
SANDP-500,D,03/12/21,00:00:00,4538.4300000
SANDP-500,D,06/12/21,00:00:00,4591.6700000
SANDP-500,D,07/12/21,00:00:00,4686.7500000
SANDP-500,D,08/12/21,00:00:00,4701.2100000
SANDP-500,D,09/12/21,00:00:00,4667.4500000
SANDP-500,D,10/12/21,00:00:00,4712.0200000
SANDP-500,D,13/12/21,00:00:00,4668.9700000
SANDP-500,D,14/12/21,00:00:00,4634.0900000
SANDP-500,D,15/12/21,00:00:00,4709.8500000
SANDP-500,D,16/12/21,00:00:00,4668.6700000
SANDP-500,D,17/12/21,00:00:00,4620.6400000
SANDP-500,D,20/12/21,00:00:00,4568.0200000
SANDP-500,D,21/12/21,00:00:00,4649.2300000
SANDP-500,D,22/12/21,00:00:00,4696.5600000
SANDP-500,D,23/12/21,00:00:00,4725.7900000
SANDP-500,D,27/12/21,00:00:00,4791.1900000
SANDP-500,D,28/12/21,00:00:00,4786.3500000
SANDP-500,D,29/12/21,00:00:00,4793.0600000
SANDP-500,D,30/12/21,00:00:00,4778.7300000
SANDP-500,D,31/12/21,00:00:00,4766.1800000
SANDP-500,D,03/01/22,00:00:00,4796.5600000
SANDP-500,D,04/01/22,00:00:00,4793.5400000
SANDP-500,D,05/01/22,00:00:00,4700.5800000
SANDP-500,D,06/01/22,00:00:00,4696.0500000
SANDP-500,D,07/01/22,00:00:00,4677.0300000
SANDP-500,D,10/01/22,00:00:00,4670.2900000
SANDP-500,D,11/01/22,00:00:00,4713.0700000
SANDP-500,D,12/01/22,00:00:00,4726.3500000
SANDP-500,D,13/01/22,00:00:00,4659.0300000
SANDP-500,D,14/01/22,00:00:00,4662.8500000
SANDP-500,D,18/01/22,00:00:00,4577.1100000
SANDP-500,D,19/01/22,00:00:00,4532.7600000
SANDP-500,D,20/01/22,00:00:00,4482.7300000
SANDP-500,D,21/01/22,00:00:00,4397.9400000
SANDP-500,D,24/01/22,00:00:00,4410.1300000
SANDP-500,D,25/01/22,00:00:00,4356.4500000
SANDP-500,D,26/01/22,00:00:00,4349.9300000
SANDP-500,D,27/01/22,00:00:00,4326.5100000
